"point","bv","month","day","year","habtype","spp","round","region","area","impound","int","annual","perennial","up","open","wood","other","crop","central","north","east","south","west","averagewater","plant1","plant2","plant3"
"wpt9041","v",8,10,2016,"ms","veg",1,"nw","nvca","rail",16,5,10,75,5,0,5,0,1.5,0,0,1.5,6.5,NA,"grass","cocklebur","p smartweed"
"wpt8911","v",8,10,2016,"ms","veg",1,"nw","nvca","rail",46,64,0,1,35,0,0,0,37,37,34,36,39,NA,"millet","a smartweed","cocklebur"
"wpt8981","v",8,10,2016,"ms","veg",1,"nw","nvca","rail",26,0,15,70,15,0,0,0,0,0,0,4,8,NA,"grass","a smartweed","cocklebur"
"wpt8831","v",8,10,2016,"ms","veg",1,"nw","nvca","rail",34,78,0,2,20,0,0,0,32,24,34,31,32,NA,"millet","a smartweed","cocklebur"
"wpt8941","v",8,10,2016,"ms","veg",1,"nw","nvca","rail",34,75,0,15,10,0,0,0,13,11,11,15,16,NA,"millet","a smartweed","cocklebur"
"wpt8921","v",8,10,2016,"ms","veg",1,"nw","nvca","rail",26,0,0,90,10,0,0,0,0,0,0,0,0,NA,"grass","cocklebur","common ragweed"
"wpt8931","v",8,10,2016,"ms","veg",1,"nw","nvca","rail",19,0,0,90,10,0,0,0,0,0,0,0,0,NA,"grass","giant ragweed","cocklebur"
"wpt9141","v",8,10,2016,"ms","veg",1,"nw","nvca","rail",23,0,0,95,5,0,0,0,0,0,0,0,0,NA,"grass","cocklebur","giant ragweed"
"wpt486","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,100,0,0,0,0,0,0,0,0,0,0,0,NA,"prairie cord grass","a smartweed","millet"
"wpt488","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,100,0,0,0,0,0,0,0,0,0,0,0,NA,"prairie cord grass","a smartweed","millet"
"wpt492","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",19,75,0,0,25,0,0,0,0,0,0,0,0,NA,"a smartweed","primrose","prairie cord grass"
"wpt498","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",19,75,0,5,15,0,5,0,0,0,0,0,0,NA,"a smartweed","millet","sumpweed"
"wpt497","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",19,70,0,10,20,0,0,0,0,0,0,0,0,NA,"a smartweed","sumpweed","prairie cord grass"
"wpt481","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",21,15,0,45,40,0,0,0,0,0,0,0,0,NA,"sumpweed","a smartweed","prairie cord grass"
"wpt491","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,30,25,0,0,0,0,45,0,0,0,0,0,NA,"corn","a smartweed","p smartweed"
"wpt495","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,40,60,0,0,0,0,0,0,0,0,0,0,NA,"p smartweed","a smartweed","prairie cord grass"
"wpt489","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,0,85,5,0,0,0,10,0,0,0,0,0,NA,"p smartweed","corn","prairie cord grass"
"wpt493","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,0,80,0,0,5,0,15,0,0,0,0,0,NA,"p smartweed","corn","willow"
"wpt500","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,5,85,5,0,5,0,0,0,0,0,0,0,NA,"p smartweed","willow","prairie cord grass"
"wpt485","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",16,0,90,0,9,1,0,0,0,0,0,0,0,NA,"p smartweed","grass","willow"
"wpt490","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",13,5,65,5,10,0,0,15,0,0,0,0,0,NA,"p smartweed","corn","prairie cord grass"
"wpt499","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",18,25,5,0,25,0,0,45,0,0,0,0,0,NA,"corn","prairie cord grass","p smartweed"
"wpt494","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,30,35,0,0,0,0,35,0,0,0,0,0,NA,"p smartweed","corn","prairie cord grass"
"wpt484","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,10,80,10,0,0,0,0,0,0,0,0,0,NA,"p smartweed","prairie cord grass","sumpweed"
"wpt487","v",8,11,2016,"ms","veg",1,"nc","fgca","pool2w",0,0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"wpt109","v",8,21,2016,"ms","veg",1,"nc","slnwr","m11",4,4,1,75,5,10,5,0,0,0,0,0,0,NA,"sumpweed","buttonbush","toothcup"
