point,bv,month,day,year,habtype,spp,round,region,area,impound,int,annual,perennial,up,open,wood,other,crop,central,north,east,south,west,averagewater,plant1,plant2,plant3
WPT161,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT162,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT163,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT164,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT165,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT166,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT167,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT168,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT169,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT170,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT171,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT172,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT173,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT174,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT175,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT176,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT177,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT178,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT179,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
WPT180,v,8,31,2016,ms,veg,1,ne,tsca,ts4a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
